# Sensor UEA-EST, Manaus, Brazil (Purple Air/31509)
# https://aqicn.org/station/@47371/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2019-11-01T00:00:00.000Z,21.24,26.61,23.87,23.04,25.42,1.424,40
2019-11-08T00:00:00.000Z,17.98,34.78,20.9,20.02,22.2,2.623,72
2019-11-09T00:00:00.000Z,7.59,39.15,26.4,21.57,30.09,6.36,717
2019-11-10T00:00:00.000Z,4.92,36,19.98,18.18,23.7,5.089,718
2019-11-11T00:00:00.000Z,7.98,31.71,14.71,12.59,17.41,4.18,714
2019-11-12T00:00:00.000Z,12.49,35.94,18.98,17.05,20.94,3.332,717
2019-11-13T00:00:00.000Z,6.59,37.59,17.23,15.01,21.08,4.711,710
2019-11-14T00:00:00.000Z,7.58,34.63,18.12,14.84,22.02,5.152,617
2019-11-16T00:00:00.000Z,13.97,33.65,19.6,16.38,24.22,5.347,65
2019-11-17T00:00:00.000Z,12.34,43.51,20.65,17.38,28.74,6.201,720
2019-11-18T00:00:00.000Z,1.39,19.55,11.72,7.91,14.14,4.866,717
2019-11-19T00:00:00.000Z,1.45,37.4,9.15,8.02,10.02,3.05,712
2019-11-20T00:00:00.000Z,2.31,34.64,8,5.13,13.97,4.8,717
2019-11-21T00:00:00.000Z,4.97,37.06,9.98,8.27,12.15,5.286,713
2019-11-22T00:00:00.000Z,0.43,62.84,5.61,2.64,7.12,9.875,714
2019-11-23T00:00:00.000Z,3.55,34.85,8.36,6.99,9.85,5.277,718
2019-11-24T00:00:00.000Z,4.49,51.87,10.54,7.09,16.14,7.05,718
2019-11-25T00:00:00.000Z,4.55,30.87,11.3,8.72,14.08,4.478,705
2019-11-26T00:00:00.000Z,3.38,39.56,20.17,12.06,24.81,8.609,586
2019-11-27T00:00:00.000Z,4.99,46.32,14.27,9.8,23.26,10.039,703
2019-11-28T00:00:00.000Z,11.78,44.75,21.63,19.41,28.01,6.384,236
2019-11-29T00:00:00.000Z,16.26,73.09,22.39,19.7,26.67,11.679,147
2019-11-30T00:00:00.000Z,13.06,58.39,33.97,30.81,37.61,7.558,711
2019-12-01T00:00:00.000Z,13.43,45.92,24.44,21.16,27.11,5.36,712
2019-12-02T00:00:00.000Z,7.01,32.08,17.43,10.03,20.75,6.341,575
2019-12-03T00:00:00.000Z,13.75,40.4,24.21,18.26,28.8,6.261,604
2019-12-04T00:00:00.000Z,2.99,48.85,8.43,7.26,10.21,6.366,698
2019-12-05T00:00:00.000Z,4.97,47.64,10.68,8.97,12.09,3.393,715
2019-12-06T00:00:00.000Z,3.51,35.45,13.14,7.83,18.62,6.622,714
2019-12-07T00:00:00.000Z,5.09,34.51,11.16,8.09,14.89,4.538,514
2019-12-08T00:00:00.000Z,2.41,18.84,5.01,4.07,7.06,2.917,304
2019-12-09T00:00:00.000Z,1.94,14.8,8.02,4.21,9.52,3.074,294
2019-12-10T00:00:00.000Z,4.38,69.67,10.16,8.52,12.67,8.828,702
2019-12-11T00:00:00.000Z,3.09,33.59,8.4,7.15,10.22,2.781,665
2019-12-12T00:00:00.000Z,0,34.97,5.85,4.54,9.14,5.437,689
2019-12-13T00:00:00.000Z,2.91,17.52,6.54,5.49,7.99,2.285,709
2019-12-14T00:00:00.000Z,3.19,71.76,7.66,5.85,9.92,5.562,715
2019-12-15T00:00:00.000Z,0.35,100.36,5.81,4.63,8.47,9.281,707
2019-12-16T00:00:00.000Z,0.63,53.03,4.63,2.77,6.68,4.467,698
2019-12-17T00:00:00.000Z,0.66,38.7,5.41,3.83,10.14,6.12,712
2019-12-18T00:00:00.000Z,0.5,27.83,5.62,4.11,8.19,4.932,584
2019-12-19T00:00:00.000Z,2.35,67.5,6.06,5.07,7.67,4.58,703
2019-12-20T00:00:00.000Z,4.09,39.33,9.27,6.88,12.58,4.123,706
2019-12-21T00:00:00.000Z,5.66,29.09,10.25,7.84,11.89,3.737,659
2019-12-22T00:00:00.000Z,0.71,14.28,5.74,2.87,8.1,2.851,711
2019-12-23T00:00:00.000Z,0.8,30.62,3.53,2.62,5.31,2.586,712
2019-12-24T00:00:00.000Z,1.35,31.78,10.21,6.66,15.19,6.289,704
2019-12-25T00:00:00.000Z,0.28,34.29,4.95,3.39,11,6.714,612
2019-12-26T00:00:00.000Z,1.09,11.12,5.45,3.63,6.89,2.112,714
2019-12-27T00:00:00.000Z,3.35,29.68,5.45,4.69,8.49,4.257,323
2019-12-28T00:00:00.000Z,0.59,12.83,2.47,1.54,3.81,1.74,236
2019-12-29T00:00:00.000Z,0.18,7.89,3.87,3.26,4.51,1.069,722
2019-12-30T00:00:00.000Z,0,16.96,3.94,1.86,7.97,3.662,448
2019-12-31T00:00:00.000Z,1.02,55.59,4.2,3.01,6.28,8.937,687
2020-01-01T00:00:00.000Z,2.62,119.4,8.08,5.57,31.54,24.788,709
2020-01-02T00:00:00.000Z,3.09,83.02,7.43,6.17,8.94,5.886,717
2020-01-03T00:00:00.000Z,5.09,37.28,11.68,8.05,25.67,9.789,649
2020-01-04T00:00:00.000Z,6.02,32.51,8.11,7.3,12.56,6.654,342
2020-01-14T00:00:00.000Z,1.64,4.38,2.73,2.73,2.87,0.579,19
2020-01-21T00:00:00.000Z,3.4,12.19,5.44,4.73,7.13,1.641,190
2020-01-22T00:00:00.000Z,6.05,10.43,7.6,6.95,8.21,1.117,35
2020-01-23T00:00:00.000Z,4.32,30.95,7.49,6.55,9.3,4.723,127
2020-01-24T00:00:00.000Z,5.09,48.2,12.14,8.5,15.15,6.11,412
2020-01-25T00:00:00.000Z,0,59.28,4.22,1.04,30.53,16.504,386
2020-01-28T00:00:00.000Z,1.81,6.49,3.88,2.78,4.94,1.244,55
2020-01-29T00:00:00.000Z,1.42,48.76,7.59,6.41,8.8,4.509,456
2020-01-30T00:00:00.000Z,4.05,30.29,11.83,9.05,18.07,5.935,421
2020-01-31T00:00:00.000Z,2.06,28.39,8.24,5.2,10.97,3.962,403
2020-02-01T00:00:00.000Z,0.53,9.02,2.5,1.79,4.26,1.83,478
2020-02-02T00:00:00.000Z,2.16,30.02,6.98,4.05,14.48,6.585,490
2020-02-03T00:00:00.000Z,10.99,37.7,18.71,15.75,21.44,4.255,453
2020-02-04T00:00:00.000Z,4.66,34.09,12.48,8,15.54,4.997,381
2020-02-05T00:00:00.000Z,2.25,20.42,7.15,5.56,9.77,3.882,366
2020-02-06T00:00:00.000Z,10.17,75.37,19.37,15.57,22.2,5.857,347
2020-02-07T00:00:00.000Z,7.96,68.55,15.31,12.8,17.76,4.695,328
2020-02-08T00:00:00.000Z,6.46,24.35,12.08,10.28,14.67,3.654,398
2020-02-09T00:00:00.000Z,5.88,25.73,11.35,8.66,14.68,4.427,516
2020-02-10T00:00:00.000Z,1.88,14.11,7.13,4.03,9.75,3.062,528
2020-02-11T00:00:00.000Z,1.78,28.42,8.75,6.28,10.91,3.582,516
2020-02-12T00:00:00.000Z,0,15.78,3.22,2.02,4.51,2,526
2020-02-13T00:00:00.000Z,0,17.28,4.55,1.46,6.27,3.063,494
2020-02-14T00:00:00.000Z,0.49,96,5.34,3.77,6.76,7.352,507
2020-02-15T00:00:00.000Z,2.38,39.63,5.76,4.05,8.06,3.173,427
2020-02-16T00:00:00.000Z,1.62,66.7,5.17,4.22,7.31,4.869,512
2020-02-17T00:00:00.000Z,2.27,15.96,6.11,5.21,9.82,3.03,221
2020-03-05T00:00:00.000Z,3.31,11.85,5.3,4.62,6.11,1.062,179
2020-03-06T00:00:00.000Z,2.29,43.5,5.16,3.59,7.98,4.097,652
2020-03-07T00:00:00.000Z,3.81,25.22,7.66,6.17,9.09,3.122,718
